Nome,Finalidade,Tipo de Imóvel,Estado,Preço de venda,Distrito,Concelho,Freguesia,Referência
Moradia Geminada 5 quartos,Venda,Moradia Geminada,Usado,250.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",314190231
Apartamento 3 quartos,Venda,Apartamento,Usado,99.900 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190175
Moradia Geminada 4 quartos,Venda,Moradia Geminada,Construção,360.000 €,Braga,Braga,"Celeirós, Aveleda e Vimieiro",260190174
Moradia 3 quartos,Venda,Moradia,Usado,65.000 €,Braga,Braga,Braga (São Vítor),285190139
Moradia Isolada 4 quartos,Venda,Moradia Isolada,Planta,425.000 €,Braga,Braga,"Real, Dume e Semelhe",260190171
Terreno Para Construção,Venda,Terreno Para Construção,N/D,320.000 €,Braga,Braga,Morreira e Trandeiras,314190211
Apartamento 2 quartos,Venda,Apartamento,Usado,122.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190130
Armazém,Venda,Armazém,Usado,180.000 €,Braga,Braga,Sequeira,260190169
Loja,Venda,Loja,Usado,69.000 €,Braga,Braga,Braga (São Vicente),314190206
Apartamento 2 quartos,Venda,Apartamento,Usado,93.500 €,Braga,Braga,Lomar e Arcos,314190205
Moradia Isolada 5 quartos,Venda,Moradia Isolada,Usado,460.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",314190202
Apartamento Estúdio,Venda,Apartamento,Novo,105.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),314190201
Terreno Rústico,Venda,Terreno Rústico,N/D,130.000 €,Braga,Braga,Este (São Pedro e São Mamede),285190124
Terreno Para Construção,Venda,Terreno Para Construção,N/D,Sob Consulta,Braga,Braga,Adaúfe,285190121
Terreno,Venda,Terreno,N/D,69.500 €,Braga,Braga,Este (São Pedro e São Mamede),285190120
Apartamento 2 quartos,Venda,Apartamento,Usado,120.000 €,Braga,Braga,Braga (São José de São Lázaro e São João do Souto),314190199
Apartamento 2 quartos,Venda,Apartamento,Usado,92.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190157
Apartamento 3 quartos,Venda,Apartamento,Novo,240.000 €,Braga,Braga,Nogueiró e Tenões,314190196
Apartamento 3 quartos,Venda,Apartamento,Novo,235.000 €,Braga,Braga,Nogueiró e Tenões,314190195
Apartamento 3 quartos,Venda,Apartamento,Novo,230.000 €,Braga,Braga,Nogueiró e Tenões,314190194
Apartamento 3 quartos,Venda,Apartamento,Novo,225.000 €,Braga,Braga,Nogueiró e Tenões,314190193
Armazém,Venda,Armazém,Usado,62.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190151
Apartamento 2 quartos,Venda,Apartamento,Usado,69.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190148
Apartamento 3 quartos,Venda,Apartamento,Usado,75.000 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190147
Apartamento 2 quartos,Venda,Apartamento,Construção,302.500 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190141
Apartamento 2 quartos,Venda,Apartamento,Construção,282.500 €,Braga,Braga,"Braga (Maximinos, Sé e Cividade)",260190140
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,Sob Consulta,Braga,Braga,Gualtar,285190117
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,369.500 €,Braga,Braga,Gualtar,285190116
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,Sob Consulta,Braga,Braga,Gualtar,285190115
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,369.500 €,Braga,Braga,Gualtar,285190114
Moradia em Banda 3 quartos,Venda,Moradia em Banda,Novo,Sob Consulta,Braga,Braga,Gualtar,285190113
Lote,Venda,Lote,N/D,235.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190112
Lote,Venda,Lote,N/D,190.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190111
Lote,Venda,Lote,N/D,140.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190110
Lote,Venda,Lote,N/D,150.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190109
Lote,Venda,Lote,N/D,130.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190108
Lote,Venda,Lote,N/D,135.000 €,Braga,Braga,"Nogueira, Fraião e Lamaçães",285190107
Lote,Venda,Lote,N/D,73.000 €,Braga,Braga,"Merelim (São Paio), Panoias e Parada de Tibães",260190137
Apartamento 3 quartos,Venda,Apartamento,Novo,208.000 €,Braga,Braga,Gualtar,285190105
Apartamento 2 quartos,Venda,Apartamento,Novo,157.000 €,Braga,Braga,Gualtar,285190104
Apartamento 1 quarto,Venda,Apartamento,Novo,113.000 €,Braga,Braga,Gualtar,285190103
Apartamento 3 quartos,Venda,Apartamento,Novo,188.000 €,Braga,Braga,Gualtar,285190102
